noc20-ar01,Architecture and Planning,Sustainable Architecture,Prof. Avlokita Agrawal,IITR,12 Weeks,New,"January 27, 2020","April 17, 2020","April 25, 2020",UG,Core,No,,https://swayam.gov.in/nd1_noc20_ar01/preview,,,,,,,,,,,,,,,,,
noc20-ar02,Architecture and Planning,Introduction to History of Architecture in India,Prof. Pushkar Sohoni,IISER Pune,4 Weeks,Rerun,"January 27, 2020","February 21, 2020","March 29, 2020",UG,Core,No,https://onlinecourses-archive.nptel.ac.in/noc19_ar07,https://swayam.gov.in/nd1_noc20_ar02/preview,https://nptel.ac.in/courses/124/106/124106009,,,,,,,,,,,,,,,,
noc20-ar03,Architecture and Planning,"Structure, Form, and Architecture : The Synergy",Prof. Shubhajit Sadhukhan,IITR,8 Weeks,New,"January 27, 2020","March 20, 2020","March 29, 2020",PG,Core,Yes,,https://swayam.gov.in/nd1_noc20_ar03/preview,,,,,,,,,,,,,,,,,
noc20-bt01,Biotechnology & Bioengineering,Forests and their management,Prof. Ankur Awadhiya,IITK,12 Weeks,New,"January 27, 2020","April 17, 2020","April 25, 2020",UG,Elective,Yes,,https://swayam.gov.in/nd1_noc20_bt01/preview,,,,,,,,,,,,,,,,,
noc20-bt04,Biotechnology & Bioengineering,Forest Biometry,Prof. Ankur Awadhiya,IITK,8 Weeks,Rerun,"January 27, 2020","March 20, 2020","March 29, 2020",PG,Elective,Yes,https://onlinecourses-archive.nptel.ac.in/noc19_bt08,https://swayam.gov.in/nd1_noc20_bt04/preview,https://nptel.ac.in/courses/102/104/102104060,,,,,,,,,,,,,,,,
noc20-bt09,Biotechnology & Bioengineering,Bioengineering : An Interface with Biology and Medicine,Prof. Sanjeeva Srivastava,IITB,8 Weeks,Rerun,"January 27, 2020","March 20, 2020","March 29, 2020",UG,Core,No,https://onlinecourses-archive.nptel.ac.in/noc19_bt13,https://swayam.gov.in/nd1_noc20_bt09/preview,https://nptel.ac.in/courses/102/101/102101068,,,,,,,,,,,,,,,,
noc20-bt06,Biotechnology & Bioengineering,Human Molecular Genetics,Prof. S. Ganesh,IITK,4 Weeks,Rerun,"January 27, 2020","February 21, 2020","March 29, 2020",UG/PG,Elective,Yes,https://onlinecourses-archive.nptel.ac.in/noc19_bt05,https://swayam.gov.in/nd1_noc20_bt06/preview,https://nptel.ac.in/courses/102/104/102104052,,,,,,,,,,,,,,,,
noc20-bt02,Biotechnology & Bioengineering,Interactomics : Basics & Applications,Prof. Sanjeeva Srivastava,IITB,12 Weeks,New,"January 27, 2020","April 17, 2020","April 25, 2020",UG/PG,Elective,Yes,,https://swayam.gov.in/nd1_noc20_bt02/preview,,,,,,,,,,,,,,,,,
noc20-bt03,Biotechnology & Bioengineering,Bioenergetics of Life Processes,Prof. Mainak Das,IITK,4 Weeks,Rerun,"February 24, 2020","March 20, 2020","April 26, 2020",UG/PG,Elective,Yes,https://onlinecourses-archive.nptel.ac.in/noc18_bt13,https://swayam.gov.in/nd1_noc20_bt03/preview,https://nptel.ac.in/courses/102/104/102104063,,,,,,,,,,,,,,,,
noc20-bt07,Biotechnology & Bioengineering,Material and Energy Balances,Prof. Vignesh Muthuvijayan,IITM,12 Weeks,Rerun,"January 27, 2020","April 17, 2020","April 25, 2020",UG,Core,No,https://onlinecourses-archive.nptel.ac.in/noc18_bt29,https://swayam.gov.in/nd1_noc20_bt07/preview,https://nptel.ac.in/courses/102/106/102106069,,,,,,,,,,,,,,,,
noc20-bt08,Biotechnology & Bioengineering,Computational Systems Biology,Prof. Karthik Raman,IITM,12 Weeks,Rerun,"January 27, 2020","April 17, 2020","April 25, 2020",UG/PG,Elective,Yes,https://onlinecourses-archive.nptel.ac.in/noc18_bt22,https://swayam.gov.in/nd1_noc20_bt08/preview,https://nptel.ac.in/courses/102/106/102106068,,,,,,,,,,,,,,,,
noc20-bt10,Biotechnology & Bioengineering,Bio-Informatics : Algorithms and Applications,Prof. Michael Gromiha,IITM,12 Weeks,Rerun,"January 27, 2020","April 17, 2020","April 26, 2020",UG/PG,Core,Yes,https://onlinecourses-archive.nptel.ac.in/noc19_bt01,https://swayam.gov.in/nd1_noc20_bt10/preview,https://nptel.ac.in/courses/102/106/102106065,,,,,,,,,,,,,,,,
noc20-bt11,Biotechnology & Bioengineering,Biostatistics and Design of experiments,Prof. Mukesh Doble,IITM,8 Weeks,Rerun,"January 27, 2020","March 20, 2020","March 29, 2020",UG/PG,Core/Elective,Yes,https://onlinecourses-archive.nptel.ac.in/noc18_bt20,https://swayam.gov.in/nd1_noc20_bt11/preview,https://nptel.ac.in/courses/102/106/102106051,,,,,,,,,,,,,,,,
noc20-bt12,Biotechnology & Bioengineering,Medical Biomaterials,Prof. Mukesh Doble,IITM,8 Weeks,Rerun,"February 24, 2020","April 17, 2020","April 25, 2020",UG/PG,Elective,Yes,https://onlinecourses-archive.nptel.ac.in/noc19_bt03,https://swayam.gov.in/nd1_noc20_bt12/preview,https://nptel.ac.in/courses/102/106/102106057,,,,,,,,,,,,,,,,
noc20-bt13,Biotechnology & Bioengineering,Introductory Mathematical Methods for Biologists,Prof. Ranjit Padinhateeri,IITB,8 Weeks,Rerun,"February 24, 2020","April 17, 2020","April 26, 2020",UG/PG,Core,Yes,https://onlinecourses-archive.nptel.ac.in/noc19_bt02,https://swayam.gov.in/nd1_noc20_bt13/preview,https://nptel.ac.in/courses/102/101/102101067,,,,,,,,,,,,,,,,
noc20-bt14,Biotechnology & Bioengineering,Thermodynamics for Biological Systems : Classical and Statistical Aspect,"Prof. Suraishkumar G K
Prof. Sanjib Senapati",IITM,12 Weeks,New,"January 27, 2020","April 17, 2020","April 26, 2020",UG,Core,No,,https://swayam.gov.in/nd1_noc20_bt14/preview,,,,,,,,,,,,,,,,,
noc20-bt15,Biotechnology & Bioengineering,Demystifying the Brain,Prof. Srinivas Chakravarthy,IITM,4 Weeks,Rerun,"January 27, 2020","February 21, 2020","March 29, 2020",UG/PG,Elective,Yes,https://onlinecourses-archive.nptel.ac.in/noc19_bt07,https://swayam.gov.in/nd1_noc20_bt15/preview,https://nptel.ac.in/courses/102/106/102106066/,,,,,,,,,,,,,,,,
noc20-bt16,Biotechnology & Bioengineering,Optical Spectroscopy and Microscopy : Fundamentals of optical measurements and instrumentation,Prof. Balaji Jayaprakash,IISc,12 Weeks,New,"January 27, 2020","April 17, 2020","April 25, 2020",PG,Elective,Yes,,https://swayam.gov.in/nd1_noc20_bt16/preview,,,,,,,,,,,,,,,,,
noc20-bt18,Biotechnology & Bioengineering,Principles and Applications of NMR Spectroscopy,Prof. H. S. Atreya,IISc,8 Weeks,Rerun,"January 27, 2020","March 20, 2020","March 29, 2020",PG,Elective,Yes,https://onlinecourses-archive.nptel.ac.in/noc18_ge07,https://swayam.gov.in/nd1_noc20_bt18/preview,https://nptel.ac.in/courses/104/108/104108078,,,,,,,,,,,,,,,,
noc20-me04,Biotechnology & Bioengineering,Cell Culture Technologies,Prof. Mainak Das,IITK,8 Weeks,Rerun,"February 24, 2020","April 17, 2020","April 25, 2020",PG,Elective,Yes,https://onlinecourses-archive.nptel.ac.in/noc19_bt06,https://swayam.gov.in/nd1_noc20_me04/preview,https://nptel.ac.in/courses/102/104/102104059,,,,,,,,,,,,,,,,
noc20-bt05,Biotechnology & Bioengineering,Introduction to Professional Scientific Communication,Prof. S. Ganesh,IITK,4 Weeks,Rerun,"January 27, 2020","February 21, 2020","March 29, 2020",PG,Elective,Yes,https://onlinecourses-archive.nptel.ac.in/noc19_ge06,https://swayam.gov.in/nd1_noc20_bt05/preview,https://nptel.ac.in/courses/102/104/102104061,,,,,,,,,,,,,,,,
noc20-ch05,Chemical Engineering,Computational Fluid Dynamics,Prof. Sreenivas Jayanti,IITM,12 Weeks,Rerun,"January 27, 2020","April 17, 2020","April 26, 2020",UG/PG,Elective,Yes,https://onlinecourses-archive.nptel.ac.in/noc19_ch04,https://swayam.gov.in/nd1_noc20_ch05/preview,https://nptel.ac.in/courses/103/106/103106119,,,,,,,,,,,,,,,,
noc20-ch10,Chemical Engineering,Transport processes I - Heat and Mass Transfer,Prof. Kumaran V,IISc,12 Weeks,Rerun,"January 27, 2020","April 17, 2020","April 26, 2020",UG/PG,Elective,Yes,https://onlinecourses-archive.nptel.ac.in/noc18_ch14,https://swayam.gov.in/nd1_noc20_ch10/preview,https://nptel.ac.in/courses/103/108/103108123,,,,,,,,,,,,,,,,
noc20-ch11,Chemical Engineering,"Process Control - Design, Analysis and Assessment",Prof. Ragunathan Rengasamy,IITM,12 Weeks,Rerun,"January 27, 2020","April 17, 2020","April 26, 2020",UG,Core,No,https://onlinecourses-archive.nptel.ac.in/noc19_ch10,https://swayam.gov.in/nd1_noc20_ch11/preview,https://nptel.ac.in/courses/103/106/103106148,,,,,,,,,,,,,,,,
noc20-ch12,Chemical Engineering,Heat Transfer,Prof. Ganesh Viswanathan,IITB,12 Weeks,Rerun,"January 27, 2020","April 17, 2020","April 26, 2020",UG,Core,No,https://onlinecourses-archive.nptel.ac.in/noc19_ch06,https://swayam.gov.in/nd1_noc20_ch12/preview,https://nptel.ac.in/courses/103/101/103101137,,,,,,,,,,,,,,,,
noc20-ch13,Chemical Engineering,Chemical Reaction Engineering II,Prof. Ganesh Viswanathan,IITB,12 Weeks,Rerun,"January 27, 2020","April 17, 2020","April 25, 2020",UG,Core,No,https://onlinecourses-archive.nptel.ac.in/noc19_ch05,https://swayam.gov.in/nd1_noc20_ch13/preview,https://nptel.ac.in/courses/103/101/103101141,,,,,,,,,,,,,,,,
noc20-ch15,Chemical Engineering,Mass Transfer Operations - I,Prof. Bishnupada Mandal,IITG,12 Weeks,Rerun,"January 27, 2020","April 17, 2020","April 26, 2020",UG,Core,No,https://onlinecourses-archive.nptel.ac.in/noc19_ch03,https://swayam.gov.in/nd1_noc20_ch15/preview,https://nptel.ac.in/courses/103/103/103103145,,,,,,,,,,,,,,,,
noc20-ch20,Chemical Engineering,Basic Principles and Calculations in Chemical Engineering,Prof. Subrata Kumar Majumdar,IITG,12 Weeks,New,"January 27, 2020","April 17, 2020","April 26, 2020",UG,Core,No,,https://swayam.gov.in/nd1_noc20_ch20/preview,,,,,,,,,,,,,,,,,
noc20-ch17,Chemical Engineering,Equipment Design : Mechanical Aspects,Prof. Shabina Khanam,IITR,4 Weeks,Rerun,"January 27, 2020","February 21, 2020","March 29, 2020",UG,Elective,yes,https://onlinecourses-archive.nptel.ac.in/noc19_ch14,https://swayam.gov.in/nd1_noc20_ch17/preview,https://nptel.ac.in/courses/103/107/103107143,,,,,,,,,,,,,,,,
noc20-ch06,Chemical Engineering,Transport phenomena,Prof. Sunando DasGupta,IIT KGP,12 Weeks,Rerun,"January 27, 2020","April 17, 2020","April 26, 2020",UG,Core,No,https://onlinecourses-archive.nptel.ac.in/noc17_ch11,https://swayam.gov.in/nd1_noc20_ch06/preview,https://nptel.ac.in/courses/103/105/103105128,,,,,,,,,,,,,,,,
noc20-ch16,Chemical Engineering,Waste to Energy Conversion,Prof. P. Mondal,IITR,8 Weeks,Rerun,"January 27, 2020","March 20, 2020","March 29, 2020",UG,Elective,yes,https://onlinecourses-archive.nptel.ac.in/noc19_ch13,https://swayam.gov.in/nd1_noc20_ch16/preview,https://nptel.ac.in/courses/103/107/103107125,,,,,,,,,,,,,,,,
noc20-ch01,Chemical Engineering,Environmental Quality Monitoring & Analysis,Prof. Ravi Krishna R,IITM,12 Weeks,New,"January 27, 2020","April 17, 2020","April 25, 2020",UG/PG,Elective,Yes,,https://swayam.gov.in/nd1_noc20_ch01/preview,,,,,,,,,,,,,,,,,
noc20-ch02,Chemical Engineering,Electrochemical Technology in Pollution Control,Prof. J. R. Mudakavi,IISc,8 Weeks,New,"January 27, 2020","March 20, 2020","March 29, 2020",UG/PG,Elective,Yes,,https://swayam.gov.in/nd1_noc20_ch02/preview,,,,,,,,,,,,,,,,,
noc20-ch03,Chemical Engineering,Advanced Thermodynamics,Prof. Nanda Kishore,IITG,12 Weeks,New,"January 27, 2020","April 17, 2020","April 26, 2020",PG,Core,Yes,,https://swayam.gov.in/nd1_noc20_ch03/preview,,,,,,,,,,,,,,,,,
noc20-ch04,Chemical Engineering,Membrane Technology,Prof. Kaustubha Mohanty,IITG,12 Weeks,New,"January 27, 2020","April 17, 2020","April 25, 2020",UG/PG,Elective,Yes,,https://swayam.gov.in/nd1_noc20_ch04/preview,,,,,,,,,,,,,,,,,
noc20-ch07,Chemical Engineering,Optimization in Chemical Engineering,Prof. Debasis Sarkar,IIT KGP,12 Weeks,Rerun,"January 27, 2020","April 17, 2020","April 25, 2020",UG,Elective,yes,https://onlinecourses-archive.nptel.ac.in/noc18_ch21,https://swayam.gov.in/nd1_noc20_ch07/preview,https://nptel.ac.in/courses/103/105/103105139,,,,,,,,,,,,,,,,
noc20-ch08,Chemical Engineering,Introduction To Process Modeling In The Membrane Separation Process,Prof. Sirshendu De,IIT KGP,4 Weeks,Rerun,"February 24, 2020","March 20, 2020","April 25, 2020",UG/PG,Elective,Yes,https://onlinecourses-archive.nptel.ac.in/noc18_ch15,https://swayam.gov.in/nd1_noc20_ch08/preview,https://nptel.ac.in/courses/103/105/103105121,,,,,,,,,,,,,,,,
noc20-ch09,Chemical Engineering,Soft Nano Technology,Prof. Rabibrata Mukherjee,IIT KGP,8 Weeks,Rerun,"January 27, 2020","March 20, 2020","March 29, 2020",UG/PG,Elective,Yes,https://onlinecourses-archive.nptel.ac.in/noc18_ch16,https://swayam.gov.in/nd1_noc20_ch09/preview,https://nptel.ac.in/courses/103/105/103105122,,,,,,,,,,,,,,,,
noc20-ch14,Chemical Engineering,Multiphase Flows,Prof. Rajesh Kumar Upadhyay,IITG,8 Weeks,Rerun,"January 27, 2020","March 20, 2020","March 29, 2020",UG/PG,Elective,Yes,https://onlinecourses-archive.nptel.ac.in/noc18_ch19,https://swayam.gov.in/nd1_noc20_ch14/preview,https://nptel.ac.in/courses/103/103/103103136,,,,,,,,,,,,,,,,
noc20-ch18,Chemical Engineering,An Introduction to Cardiovascular Fluid Mechanics,Prof. Raghvendra Gupta,IITG,4 Weeks,Rerun,"January 27, 2020","February 21, 2020","March 29, 2020",UG/PG,Elective,Yes,https://onlinecourses-archive.nptel.ac.in/noc18_ch11,https://swayam.gov.in/nd1_noc20_ch18/preview,https://nptel.ac.in/courses/103/103/103103133,,,,,,,,,,,,,,,,
noc20-ch19,Chemical Engineering,Computer Aided Applied Single Objective Optimization,Prof. Prakash Kotecha,IITG,8 Weeks,New,"January 27, 2020","March 20, 2020","March 29, 2020",UG/PG,Elective,Yes,,https://swayam.gov.in/nd1_noc20_ch19/preview,,,,,,,,,,,,,,,,,
noc20-cy12,Chemistry,Organometallic Chemistry,Prof. D. Maiti,IITB,4 Weeks,Rerun,"January 27, 2020","February 21, 2020","March 29, 2020",UG,Core,No,https://onlinecourses-archive.nptel.ac.in/noc19_cy03,https://swayam.gov.in/nd1_noc20_cy12/preview,https://nptel.ac.in/courses/104/101/104101079,,,,,,,,,,,,,,,,
noc20-cy16,Chemistry,Medicinal Chemistry,Prof. Harinath Chakrapani,IISER Pune,12 Weeks,Rerun,"January 27, 2020","April 17, 2020","April 25, 2020",UG/PG,Core,Yes,https://onlinecourses-archive.nptel.ac.in/noc19_cy05,https://swayam.gov.in/nd1_noc20_cy16/preview,https://nptel.ac.in/courses/104/106/104106106,,,,,,,,,,,,,,,,
noc20-cy03,Chemistry,Basics in Inorganic Chemistry,Prof. D. Maiti,IITB,4 Weeks,New,"January 27, 2020","February 21, 2020","March 29, 2020",UG,Core,No,,https://swayam.gov.in/nd1_noc20_cy03/preview,,,,,,,,,,,,,,,,,
noc20-cy10,Chemistry,Biochemistry,Prof. Swagata Dasgupta,IIT KGP,12 Weeks,Rerun,"January 27, 2020","April 17, 2020","April 26, 2020",UG/PG,Core,Yes,https://onlinecourses-archive.nptel.ac.in/noc19_cy06,https://swayam.gov.in/nd1_noc20_cy10/preview,https://nptel.ac.in/courses/104/105/104105076,,,,,,,,,,,,,,,,
noc20-cy14,Chemistry,Basic thermodynamics : Classical and Statistical Approaches,Prof. Arnab Mukherjee,IISER Pune,12 Weeks,Rerun,"January 27, 2020","April 17, 2020","April 26, 2020",UG,Core,No,https://onlinecourses-archive.nptel.ac.in/noc19_cy09,https://swayam.gov.in/nd1_noc20_cy14/preview,https://nptel.ac.in/courses/104/106/104106107,,,,,,,,,,,,,,,,
noc20-cy09,Chemistry,Advanced Chemical Thermodynamics and Kinetics,Prof. Arijit Kumar De,IISER Mohali,12 Weeks,Rerun,"January 27, 2020","April 17, 2020","April 25, 2020",UG/PG,Elective,Yes,https://onlinecourses-archive.nptel.ac.in/noc18_cy20,https://swayam.gov.in/nd1_noc20_cy09/preview,https://nptel.ac.in/courses/104/106/104106094,,,,,,,,,,,,,,,,
noc20-cy02,Chemistry,Quantitative Methods in Chemistry,"Prof. Aasheesh Srivastava
Prof. Bharathwaj Sathyamoorthy",IISER Bhopal,12 Weeks,New,"January 27, 2020","April 17, 2020","April 26, 2020",UG,Elective,yes,,https://swayam.gov.in/nd1_noc20_cy02/preview,,,,,,,,,,,,,,,,,
noc20-cy04,Chemistry,Ultrafast laser spectroscopy,Prof. Anindya Datta,IITB,12 Weeks,New,"January 27, 2020","April 17, 2020","April 25, 2020",PG,Elective,Yes,,https://swayam.gov.in/nd1_noc20_cy04/preview,,,,,,,,,,,,,,,,,
noc20-cy05,Chemistry,Transition Metal Organometallics in Catalysis and Biology,Prof. P. Ghosh,IITB,12 Weeks,New,"January 27, 2020","April 17, 2020","April 25, 2020",UG/PG,Elective,Yes,,https://swayam.gov.in/nd1_noc20_cy05/preview,,,,,,,,,,,,,,,,,
noc20-cy07,Chemistry,Essentials of Biomolecules : Nucleic Acids and Peptides,Prof. Lal Mohan Kundu,IITG,12 Weeks,New,"January 27, 2020","April 17, 2020","April 26, 2020",PG,Core,Yes,,https://swayam.gov.in/nd1_noc20_cy07/preview,,,,,,,,,,,,,,,,,
noc20-cy08,Chemistry,Fundamentals of Spectroscopy,"Prof. Sayan Bagchi
Prof. Anirban Hazra","NCL Pune, 
IISER Pune",12 Weeks,New,"January 27, 2020","April 17, 2020","April 26, 2020",UG,Core,No,,https://swayam.gov.in/nd1_noc20_cy08/preview,,,,,,,,,,,,,,,,,
noc20-cy11,Chemistry,Reactive Intermediates Carbene and Nitrene,Prof. Rajarshi Samanta,IIT KGP,4 Weeks,Rerun,"February 24, 2020","March 20, 2020","April 26, 2020",UG,Core,No,https://onlinecourses-archive.nptel.ac.in/noc19_cy14,https://swayam.gov.in/nd1_noc20_cy11/preview,https://nptel.ac.in/courses/104/105/104105104,,,,,,,,,,,,,,,,
noc20-cy13,Chemistry,Chemical Applications of Symmetry and Group Theory,Prof. Manabendra Chandra,IITK,8 Weeks,Rerun,"January 27, 2020","March 20, 2020","March 29, 2020",UG/PG,Elective,Yes,https://onlinecourses-archive.nptel.ac.in/noc18_ch02,https://swayam.gov.in/nd1_noc20_cy13/preview,https://nptel.ac.in/courses/104/104/104104080,,,,,,,,,,,,,,,,
noc20-cy15,Chemistry,Pericyclic Reactions and Organic Photochemistry,Prof. Sankararaman,IITM,8 Weeks,Rerun,"February 24, 2020","April 17, 2020","April 25, 2020",PG,Core,Yes,https://onlinecourses-archive.nptel.ac.in/noc18_cy16,https://swayam.gov.in/nd1_noc20_cy15/preview,https://nptel.ac.in/courses/104/106/104106077,,,,,,,,,,,,,,,,
noc20-ce02,Civil Engineering,Introduction to Civil Engineering Profession,"Prof. Ravindra Gettu
Prof. Subhadeep Banerjee",IITM,8 Weeks,New,"January 27, 2020","March 20, 2020","March 29, 2020",UG,Core,No,,https://swayam.gov.in/nd1_noc20_ce02/preview,,,,,,,,,,,,,,,,,
noc20-ce05,Civil Engineering,Modern Construction Materials,Prof. Ravindra Gettu,IITM,12 Weeks,Rerun,"January 27, 2020","April 17, 2020","April 25, 2020",UG/PG,Core,Yes,https://onlinecourses-archive.nptel.ac.in/noc18_ce22,https://swayam.gov.in/nd1_noc20_ce05/preview,https://nptel.ac.in/courses/105/106/105106053,,,,,,,,,,,,,,,,
noc20-ce01,Civil Engineering,Characterization of Construction Materials,"Prof. Manu Santhanam
Prof. Piyush Chaunsali",IITM,12 Weeks,New,"January 27, 2020","April 17, 2020","April 26, 2020",PG,Elective,Yes,,https://swayam.gov.in/nd1_noc20_ce01/preview,,,,,,,,,,,,,,,,,
noc20-ce15,Civil Engineering,Advanced Topics in the Science and Technology of Concrete,"Prof. Ravindra Gettu
Prof. Manu Santhanam",IITM,4 Weeks,Rerun,"January 27, 2020","February 21, 2020","March 29, 2020",PG,Elective,Yes,https://onlinecourses-archive.nptel.ac.in/noc19_ce17,https://swayam.gov.in/nd1_noc20_ce15/preview,https://nptel.ac.in/courses/105/106/105106187,,,,,,,,,,,,,,,,
noc20-ce25,Civil Engineering,Geotechnical Engineering - 1,Prof. D. N. Singh,IITB,12 Weeks,New,"January 27, 2020","April 17, 2020","April 26, 2020",UG,Core,No,,https://swayam.gov.in/nd1_noc20_ce25/preview,,,,,,,,,,,,,,,,,
noc20-ce10,Civil Engineering,Geotechnical Engineering II Foundation Engineering,Prof. Dilip Kumar Baidya,IIT KGP,12 Weeks,Rerun,"January 27, 2020","April 17, 2020","April 26, 2020",UG,Core,No,https://onlinecourses-archive.nptel.ac.in/noc19_ce11,https://swayam.gov.in/nd1_noc20_ce10/preview,https://nptel.ac.in/courses/105/105/105105185,,,,,,,,,,,,,,,,
noc20-ce03,Civil Engineering,Environmental Geomechanics,Prof. D. N. Singh,IITB,12 Weeks,New,"January 27, 2020","April 17, 2020","April 26, 2020",PG,Core,Yes,,https://swayam.gov.in/nd1_noc20_ce03/preview,,,,,,,,,,,,,,,,,
noc20-ce04,Civil Engineering,Mechanical Characterization of Bituminous Materials,"Prof. M. R. Nivitha (MRN)
Prof. Neethu Roy(NR)
Prof. A. Padmarekha(APR)
Prof. J. Murali Krishnan(JMK)","PSG Tech., Coimbatore
MBCET, Trivandrum 
SRM IST, Kattankulathur
IIT Madras",12 Weeks,New,"January 27, 2020","April 17, 2020","April 25, 2020",PG,Elective,Yes,,https://swayam.gov.in/nd1_noc20_ce04/preview,,,,,,,,,,,,,,,,,
noc20-ce11,Civil Engineering,Landscape Architecture and Site Planning - Basic Fundamentals,Prof. Uttam Kumar Banerjee,IIT KGP,8 Weeks,Rerun,"February 24, 2020","April 17, 2020","April 25, 2020",UG,Elective,Yes,https://onlinecourses-archive.nptel.ac.in/noc17_ce01,https://swayam.gov.in/nd1_noc20_ce11/preview,https://nptel.ac.in/courses/124/105/124105001,,,,,,,,,,,,,,,,
noc20-ce21,Civil Engineering,Structural Dynamics,Prof. Ramancharala Pradeep Kumar,IIITH,12 Weeks,Rerun,"January 27, 2020","April 17, 2020","April 26, 2020",UG,Core,No,https://onlinecourses-archive.nptel.ac.in/noc16_ce08,https://swayam.gov.in/nd1_noc20_ce21/preview,https://nptel.ac.in/courses/105/106/105106151,,,,,,,,,,,,,,,,
noc20-ce26,Civil Engineering,Maintenance and Repair of Concrete Structures,Prof. Radhakrishna G. Pillai,IITM,12 Weeks,New,"January 27, 2020","April 17, 2020","April 25, 2020",PG,Elective,Yes,,https://swayam.gov.in/nd1_noc20_ce26/preview,,,,,,,,,,,,,,,,,
noc20-ce22,Civil Engineering,Soil Structure Interaction,Prof. Koushik Deb,IIT KGP,12 Weeks,New,"January 27, 2020","April 17, 2020","April 26, 2020",UG/PG,Elective,Yes,,https://swayam.gov.in/nd1_noc20_ce22/preview,,,,,,,,,,,,,,,,,
noc20-ce06,Civil Engineering,Geosynthetics and Reinforced Soil Structures,Prof. K.Rajagopal,IITM,12 Weeks,Rerun,"January 27, 2020","April 17, 2020","April 25, 2020",PG,Elective,Yes,https://onlinecourses-archive.nptel.ac.in/noc19_ce12,https://swayam.gov.in/nd1_noc20_ce06/preview,https://nptel.ac.in/courses/105/106/105106052,,,,,,,,,,,,,,,,
